id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
5543;Моисей пророк;False;90,0х67,0х3,0 см;None;Дерево, паволока, левкас, темпера;Пророк Моисей;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5544;Соломон пророк;False;90,0х67,0х3,0 см;None;Дерево, паволока, левкас, темпера;Пророк Соломон;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5545;Успение;False;78,0 х 63,5 х 3,2 см;None;Дерево, левкас, темпера;Спаситель, Богородица, апостолы, святители, ангелы;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Праздники;Сюжетная композиция;None
5546;Иосия пророк;False;90,0х67,0х3,0 см;None;Дерево, паволока, левкас, темпера;Пророк Иосия;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5547;Илия пророк;False;90,0х67,5х3,0 см;None;Дерево, паволока, левкас, темпера;Пророк Илия;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5548;Иеремия пророк;False;90,0х67,0х3,0 см;None;Дерево, паволока, левкас, темпера;Пророк Иеремия;1626 - 1628 гг.;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Святые;Поясное;None
5550;Сошествие Святого Духа;False;96,8 х 67,8;None;дерево, левкас, темпера;Апостолы, Царь-космос (персонификация);конец;18;Россия;Дом икон на Спиридоновке;Страстной и Пасхальный циклы;Сюжетная композиция;None
5551;Успение Богородицы, с образом Богоматери Неопалимая Купина;False;72,1 х 54;None;дерево, левкас, темпера;Спаситель, Богородица, апостолы, нечестивый Афоний, ангел, святители, силы небесные, жены;конец;18;Россия;Дом икон на Спиридоновке;Праздники;Сюжетная композиция;None
5552;Знамение;False;32 х 28,3;None;дерево, левкас, темпера;Богоматерь, младенец;конец;18;Россия;Дом икон на Спиридоновке;Богоматерь;Поясное;None
5553;Положение во гроб;False;52,4 х 43,5;None;дерево, левкас, темпера;Спаситель, Богородица, ангелы, праведный Иосиф, праведный Никодим, апостолы;конец;18;Россия;Дом икон на Спиридоновке;Страстной и Пасхальный циклы;Сюжетная композиция;None
5554;Петр апостол (из деисусного чина);False;71,5 х 35;None;дерево, левкас, темпера;Апостол Петр;конец;18;Россия;Дом икон на Спиридоновке;Святые;Ростовое;None
5555;Минея декабрь;False;52,2 х 43,5;None;дерево, левкас, темпера;святые;конец;18;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
5556;Минея октябрь;False;52,3 х 44;None;дерево, левкас, темпера;святые;конец;18;Россия;Дом икон на Спиридоновке;Сложные композиции;Многофигурное;None
5557;Спас Нерукотворный;False;70,5 х 49,0 х 4,0 см;None;Дерево, левкас, серебро;Спаситель;None;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Спаситель;Оглавное или оплечное;None
5558;Четырехчастная икона: Апостол Павел, Григорий Богослов, Воскресение, Вознесение;False;125,0 х 68,5 х 3,0 см;None;Дерево, паволока, левкас;Апостол Павел, Святитель Григорий Богослов, Спаситель, Богородица, апостолы, ангелы, Адам, Ева, Давид, Соломон;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Ростовое и сюжетная композиция;None
5559;Четырехчастная икона: Апостол Петр, Василий Великий, Благовещение, Троица Ветхозаветная;False;123,0 х 67,0 х 3,3 см;None;Дерево, паволока, левкас;Апостол Петр, Святитель Василий Великий, Ангелы, Богородица, архангел Гавриил;первая Половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Сложные композиции;Ростовое и сюжетная композиция;None
5560;Троица Ветхозаветная (Гостеприимство Авраама);False;156,0 х 118,5 х 3,2 см;None;Дерево, паволока, левкас;Ангелы, Авраам, Сарра;первая половина;17;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Троица;Сюжетная композиция;None
